Date,EURO
1/1/1958,0.57757
1/2/1958,0.57757
1/3/1958,0.57757
1/6/1958,0.57757
1/7/1958,0.57757
1/8/1958,0.57757
1/9/1958,0.57757
1/10/1958,0.57757
1/13/1958,0.57757
1/14/1958,0.57757
1/15/1958,0.57757
1/16/1958,0.57757
1/17/1958,0.57757
1/20/1958,0.57757
1/21/1958,0.57757
1/22/1958,0.57757
1/23/1958,0.57757
1/24/1958,0.57757
1/27/1958,0.57757
1/28/1958,0.57757
1/29/1958,0.57757
1/30/1958,0.57757
1/31/1958,0.57774
2/3/1958,0.57774
2/4/1958,0.57774
2/5/1958,0.57774
2/6/1958,0.57774
2/7/1958,0.57774
2/10/1958,0.57774
2/11/1958,0.57774
2/12/1958,0.57774
2/13/1958,0.57774
2/14/1958,0.57774
2/17/1958,0.57774
2/18/1958,0.57774
2/19/1958,0.57774
2/20/1958,0.57774
2/21/1958,0.57774
2/24/1958,0.57774
2/25/1958,0.57774
2/26/1958,0.57774
2/27/1958,0.57774
2/28/1958,0.57769
3/3/1958,0.57769
3/4/1958,0.57769
3/5/1958,0.57769
3/6/1958,0.57769
3/7/1958,0.57769
3/10/1958,0.57769
3/11/1958,0.57769
3/12/1958,0.57769
3/13/1958,0.57769
3/14/1958,0.57769
3/17/1958,0.57769
3/18/1958,0.57769
3/19/1958,0.57769
3/20/1958,0.57769
3/21/1958,0.57769
3/24/1958,0.57769
3/25/1958,0.57769
3/26/1958,0.57769
3/27/1958,0.57769
3/28/1958,0.57769
3/31/1958,0.57767
4/1/1958,0.57767
4/2/1958,0.57767
4/3/1958,0.57767
4/4/1958,0.57767
4/7/1958,0.57767
4/8/1958,0.57767
4/9/1958,0.57767
4/10/1958,0.57767
4/11/1958,0.57767
4/14/1958,0.57767
4/15/1958,0.57767
4/16/1958,0.57767
4/17/1958,0.57767
4/18/1958,0.57767
4/21/1958,0.57767
4/22/1958,0.57767
4/23/1958,0.57767
4/24/1958,0.57767
4/25/1958,0.57767
4/28/1958,0.57767
4/29/1958,0.57767
4/30/1958,0.57754
5/1/1958,0.57754
5/2/1958,0.57754
5/5/1958,0.57754
5/6/1958,0.57754
5/7/1958,0.57754
5/8/1958,0.57754
5/9/1958,0.57754
5/12/1958,0.57754
5/13/1958,0.57754
5/14/1958,0.57754
5/15/1958,0.57754
5/16/1958,0.57754
5/19/1958,0.57754
5/20/1958,0.57754
5/21/1958,0.57754
5/22/1958,0.57754
5/23/1958,0.57754
5/26/1958,0.57754
5/27/1958,0.57754
5/28/1958,0.57754
5/29/1958,0.57754
5/30/1958,0.57752
6/2/1958,0.57752
6/3/1958,0.57752
6/4/1958,0.57752
6/5/1958,0.57752
6/6/1958,0.57752
6/9/1958,0.57752
6/10/1958,0.57752
6/11/1958,0.57752
6/12/1958,0.57752
6/13/1958,0.57752
6/16/1958,0.57752
6/17/1958,0.57752
6/18/1958,0.57752
6/19/1958,0.57752
6/20/1958,0.57752
6/23/1958,0.57752
6/24/1958,0.57752
6/25/1958,0.57752
6/26/1958,0.57752
6/27/1958,0.57752
6/30/1958,0.57756
7/1/1958,0.57756
7/2/1958,0.57756
7/3/1958,0.57756
7/4/1958,0.57756
7/7/1958,0.57756
7/8/1958,0.57756
7/9/1958,0.57756
7/10/1958,0.57756
7/11/1958,0.57756
7/14/1958,0.57756
7/15/1958,0.57756
7/16/1958,0.57756
7/17/1958,0.57756
7/18/1958,0.57756
7/21/1958,0.57756
7/22/1958,0.57756
7/23/1958,0.57756
7/24/1958,0.57756
7/25/1958,0.57756
7/28/1958,0.57756
7/29/1958,0.57756
7/30/1958,0.57756
7/31/1958,0.5773
8/1/1958,0.5773
8/4/1958,0.5773
8/5/1958,0.5773
8/6/1958,0.5773
8/7/1958,0.5773
8/8/1958,0.5773
8/11/1958,0.5773
8/12/1958,0.5773
8/13/1958,0.5773
8/14/1958,0.5773
8/15/1958,0.5773
8/18/1958,0.5773
8/19/1958,0.5773
8/20/1958,0.5773
8/21/1958,0.5773
8/22/1958,0.5773
8/25/1958,0.5773
8/26/1958,0.5773
8/27/1958,0.5773
8/28/1958,0.5773
8/29/1958,0.57731
9/1/1958,0.57731
9/2/1958,0.57731
9/3/1958,0.57731
9/4/1958,0.57731
9/5/1958,0.57731
9/8/1958,0.57731
9/9/1958,0.57731
9/10/1958,0.57731
9/11/1958,0.57731
9/12/1958,0.57731
9/15/1958,0.57731
9/16/1958,0.57731
9/17/1958,0.57731
9/18/1958,0.57731
9/19/1958,0.57731
9/22/1958,0.57731
9/23/1958,0.57731
9/24/1958,0.57731
9/25/1958,0.57731
9/26/1958,0.57731
9/29/1958,0.57731
9/30/1958,0.57729
10/1/1958,0.57729
10/2/1958,0.57729
10/3/1958,0.57729
10/6/1958,0.57729
10/7/1958,0.57729
10/8/1958,0.57729
10/9/1958,0.57729
10/10/1958,0.57729
10/13/1958,0.57729
10/14/1958,0.57729
10/15/1958,0.57729
10/16/1958,0.57729
10/17/1958,0.57729
10/20/1958,0.57729
10/21/1958,0.57729
10/22/1958,0.57729
10/23/1958,0.57729
10/24/1958,0.57729
10/27/1958,0.57729
10/28/1958,0.57729
10/29/1958,0.57729
10/30/1958,0.57729
10/31/1958,0.60277
11/3/1958,0.60277
11/4/1958,0.60277
11/5/1958,0.60277
11/6/1958,0.60277
11/7/1958,0.60277
11/10/1958,0.60277
11/11/1958,0.60277
11/12/1958,0.60277
11/13/1958,0.60277
11/14/1958,0.60277
11/17/1958,0.60277
11/18/1958,0.60277
11/19/1958,0.60277
11/20/1958,0.60277
11/21/1958,0.60277
11/24/1958,0.60277
11/25/1958,0.60277
11/26/1958,0.60277
11/27/1958,0.60277
11/28/1958,0.60278
12/1/1958,0.60278
12/2/1958,0.60278
12/3/1958,0.60278
12/4/1958,0.60278
12/5/1958,0.60278
12/8/1958,0.60278
12/9/1958,0.60278
12/10/1958,0.60278
12/11/1958,0.60278
12/12/1958,0.60278
12/15/1958,0.60278
12/16/1958,0.60278
12/17/1958,0.60278
12/18/1958,0.60278
12/19/1958,0.60278
12/22/1958,0.60278
12/23/1958,0.60278
12/24/1958,0.60278
12/25/1958,0.60278
12/26/1958,0.60278
12/29/1958,0.60278
12/30/1958,0.60278
12/31/1958,0.62208
1/1/1959,0.62208
1/2/1959,0.62208
1/5/1959,0.62208
1/6/1959,0.62208
1/7/1959,0.62208
1/8/1959,0.62208
1/9/1959,0.62208
1/12/1959,0.62208
1/13/1959,0.62208
1/14/1959,0.62208
1/15/1959,0.62208
1/16/1959,0.62208
1/19/1959,0.62208
1/20/1959,0.62208
1/21/1959,0.62208
1/22/1959,0.62208
1/23/1959,0.62208
1/26/1959,0.62208
1/27/1959,0.62208
1/28/1959,0.62208
1/29/1959,0.62208
1/30/1959,0.62102
2/2/1959,0.62102
2/3/1959,0.62102
2/4/1959,0.62102
2/5/1959,0.62102
2/6/1959,0.62102
2/9/1959,0.62102
2/10/1959,0.62102
2/11/1959,0.62102
2/12/1959,0.62102
2/13/1959,0.62102
2/16/1959,0.62102
2/17/1959,0.62102
2/18/1959,0.62102
2/19/1959,0.62102
2/20/1959,0.62102
2/23/1959,0.62102
2/24/1959,0.62102
2/25/1959,0.62102
2/26/1959,0.62102
2/27/1959,0.62081
3/2/1959,0.62081
3/3/1959,0.62081
3/4/1959,0.62081
3/5/1959,0.62081
3/6/1959,0.62081
3/9/1959,0.62081
3/10/1959,0.62081
3/11/1959,0.62081
3/12/1959,0.62081
3/13/1959,0.62081
3/16/1959,0.62081
3/17/1959,0.62081
3/18/1959,0.62081
3/19/1959,0.62081
3/20/1959,0.62081
3/23/1959,0.62081
3/24/1959,0.62081
3/25/1959,0.62081
3/26/1959,0.62081
3/27/1959,0.62081
3/30/1959,0.62081
3/31/1959,0.62073
4/1/1959,0.62073
4/2/1959,0.62073
4/3/1959,0.62073
4/6/1959,0.62073
4/7/1959,0.62073
4/8/1959,0.62073
4/9/1959,0.62073
4/10/1959,0.62073
4/13/1959,0.62073
4/14/1959,0.62073
4/15/1959,0.62073
4/16/1959,0.62073
4/17/1959,0.62073
4/20/1959,0.62073
4/21/1959,0.62073
4/22/1959,0.62073
4/23/1959,0.62073
4/24/1959,0.62073
4/27/1959,0.62073
4/28/1959,0.62073
4/29/1959,0.62073
4/30/1959,0.62077
5/1/1959,0.62077
5/4/1959,0.62077
5/5/1959,0.62077
5/6/1959,0.62077
5/7/1959,0.62077
5/8/1959,0.62077
5/11/1959,0.62077
5/12/1959,0.62077
5/13/1959,0.62077
5/14/1959,0.62077
5/15/1959,0.62077
5/18/1959,0.62077
5/19/1959,0.62077
5/20/1959,0.62077
5/21/1959,0.62077
5/22/1959,0.62077
5/25/1959,0.62077
5/26/1959,0.62077
5/27/1959,0.62077
5/28/1959,0.62077
5/29/1959,0.62074
6/1/1959,0.62074
6/2/1959,0.62074
6/3/1959,0.62074
6/4/1959,0.62074
6/5/1959,0.62074
6/8/1959,0.62074
6/9/1959,0.62074
6/10/1959,0.62074
6/11/1959,0.62074
6/12/1959,0.62074
6/15/1959,0.62074
6/16/1959,0.62074
6/17/1959,0.62074
6/18/1959,0.62074
6/19/1959,0.62074
6/22/1959,0.62074
6/23/1959,0.62074
6/24/1959,0.62074
6/25/1959,0.62074
6/26/1959,0.62074
6/29/1959,0.62074
6/30/1959,0.6207
7/1/1959,0.6207
7/2/1959,0.6207
7/3/1959,0.6207
7/6/1959,0.6207
7/7/1959,0.6207
7/8/1959,0.6207
7/9/1959,0.6207
7/10/1959,0.6207
7/13/1959,0.6207
7/14/1959,0.6207
7/15/1959,0.6207
7/16/1959,0.6207
7/17/1959,0.6207
7/20/1959,0.6207
7/21/1959,0.6207
7/22/1959,0.6207
7/23/1959,0.6207
7/24/1959,0.6207
7/27/1959,0.6207
7/28/1959,0.6207
7/29/1959,0.6207
7/30/1959,0.6207
7/31/1959,0.6208
8/3/1959,0.6208
8/4/1959,0.6208
8/5/1959,0.6208
8/6/1959,0.6208
8/7/1959,0.6208
8/10/1959,0.6208
8/11/1959,0.6208
8/12/1959,0.6208
8/13/1959,0.6208
8/14/1959,0.6208
8/17/1959,0.6208
8/18/1959,0.6208
8/19/1959,0.6208
8/20/1959,0.6208
8/21/1959,0.6208
8/24/1959,0.6208
8/25/1959,0.6208
8/26/1959,0.6208
8/27/1959,0.6208
8/28/1959,0.6208
8/31/1959,0.6208
9/1/1959,0.6208
9/2/1959,0.6208
9/3/1959,0.6208
9/4/1959,0.6208
9/7/1959,0.6208
9/8/1959,0.6208
9/9/1959,0.6208
9/10/1959,0.6208
9/11/1959,0.6208
9/14/1959,0.6208
9/15/1959,0.6208
9/16/1959,0.6208
9/17/1959,0.6208
9/18/1959,0.6208
9/21/1959,0.6208
9/22/1959,0.6208
9/23/1959,0.6208
9/24/1959,0.6208
9/25/1959,0.6208
9/28/1959,0.6208
9/29/1959,0.6208
9/30/1959,0.63521
10/1/1959,0.63521
10/2/1959,0.63521
10/5/1959,0.63521
10/6/1959,0.63521
10/7/1959,0.63521
10/8/1959,0.63521
10/9/1959,0.63521
10/12/1959,0.63521
10/13/1959,0.63521
10/14/1959,0.63521
10/15/1959,0.63521
10/16/1959,0.63521
10/19/1959,0.63521
10/20/1959,0.63521
10/21/1959,0.63521
10/22/1959,0.63521
