Date,RUSSIAN ROUBLE ,
1/1/1958,,86
1/2/1958,,
1/3/1958,,
1/6/1958,,
1/7/1958,,
1/8/1958,,
1/9/1958,,
1/10/1958,,
1/13/1958,,
1/14/1958,,
1/15/1958,,
1/16/1958,,
1/17/1958,,
1/20/1958,,
1/21/1958,,
1/22/1958,,
1/23/1958,,
1/24/1958,,
1/27/1958,,
1/28/1958,,
1/29/1958,,
1/30/1958,,
1/31/1958,,
2/3/1958,,
2/4/1958,,
2/5/1958,,
2/6/1958,,
2/7/1958,,
2/10/1958,,
2/11/1958,,
2/12/1958,,
2/13/1958,,
2/14/1958,,
2/17/1958,,
2/18/1958,,
2/19/1958,,
2/20/1958,,
2/21/1958,,
2/24/1958,,
2/25/1958,,
2/26/1958,,
2/27/1958,,
2/28/1958,,
3/3/1958,,
3/4/1958,,
3/5/1958,,
3/6/1958,,
3/7/1958,,
3/10/1958,,
3/11/1958,,
3/12/1958,,
3/13/1958,,
3/14/1958,,
3/17/1958,,
3/18/1958,,
3/19/1958,,
3/20/1958,,
3/21/1958,,
3/24/1958,,
3/25/1958,,
3/26/1958,,
3/27/1958,,
3/28/1958,,
3/31/1958,,
4/1/1958,,
4/2/1958,,
4/3/1958,,
4/4/1958,,
4/7/1958,,
4/8/1958,,
4/9/1958,,
4/10/1958,,
4/11/1958,,
4/14/1958,,
4/15/1958,,
4/16/1958,,
4/17/1958,,
4/18/1958,,
4/21/1958,,
4/22/1958,,
4/23/1958,,
4/24/1958,,
4/25/1958,,
4/28/1958,,
4/29/1958,,
4/30/1958,,
5/1/1958,,
5/2/1958,,
5/5/1958,,
5/6/1958,,
5/7/1958,,
5/8/1958,,
5/9/1958,,
5/12/1958,,
5/13/1958,,
5/14/1958,,
5/15/1958,,
5/16/1958,,
5/19/1958,,
5/20/1958,,
5/21/1958,,
5/22/1958,,
5/23/1958,,
5/26/1958,,
5/27/1958,,
5/28/1958,,
5/29/1958,,
5/30/1958,,
6/2/1958,,
6/3/1958,,
6/4/1958,,
6/5/1958,,
6/6/1958,,
6/9/1958,,
6/10/1958,,
6/11/1958,,
6/12/1958,,
6/13/1958,,
6/16/1958,,
6/17/1958,,
6/18/1958,,
6/19/1958,,
6/20/1958,,
6/23/1958,,
6/24/1958,,
6/25/1958,,
6/26/1958,,
6/27/1958,,
6/30/1958,,
7/1/1958,,
7/2/1958,,
7/3/1958,,
7/4/1958,,
7/7/1958,,
7/8/1958,,
7/9/1958,,
7/10/1958,,
7/11/1958,,
7/14/1958,,
7/15/1958,,
7/16/1958,,
7/17/1958,,
7/18/1958,,
7/21/1958,,
7/22/1958,,
7/23/1958,,
7/24/1958,,
7/25/1958,,
7/28/1958,,
7/29/1958,,
7/30/1958,,
7/31/1958,,
8/1/1958,,
8/4/1958,,
8/5/1958,,
8/6/1958,,
8/7/1958,,
8/8/1958,,
8/11/1958,,
8/12/1958,,
8/13/1958,,
8/14/1958,,
8/15/1958,,
8/18/1958,,
8/19/1958,,
8/20/1958,,
8/21/1958,,
8/22/1958,,
8/25/1958,,
8/26/1958,,
8/27/1958,,
8/28/1958,,
8/29/1958,,
9/1/1958,,
9/2/1958,,
9/3/1958,,
9/4/1958,,
9/5/1958,,
9/8/1958,,
9/9/1958,,
9/10/1958,,
9/11/1958,,
9/12/1958,,
9/15/1958,,
9/16/1958,,
9/17/1958,,
9/18/1958,,
9/19/1958,,
9/22/1958,,
9/23/1958,,
9/24/1958,,
9/25/1958,,
9/26/1958,,
9/29/1958,,
9/30/1958,,
10/1/1958,,
10/2/1958,,
10/3/1958,,
10/6/1958,,
10/7/1958,,
10/8/1958,,
10/9/1958,,
10/10/1958,,
10/13/1958,,
10/14/1958,,
10/15/1958,,
10/16/1958,,
10/17/1958,,
10/20/1958,,
10/21/1958,,
10/22/1958,,
10/23/1958,,
10/24/1958,,
10/27/1958,,
10/28/1958,,
10/29/1958,,
10/30/1958,,
10/31/1958,,
11/3/1958,,
11/4/1958,,
11/5/1958,,
11/6/1958,,
11/7/1958,,
11/10/1958,,
11/11/1958,,
11/12/1958,,
11/13/1958,,
11/14/1958,,
11/17/1958,,
11/18/1958,,
11/19/1958,,
11/20/1958,,
11/21/1958,,
11/24/1958,,
11/25/1958,,
11/26/1958,,
11/27/1958,,
11/28/1958,,
12/1/1958,,
12/2/1958,,
12/3/1958,,
12/4/1958,,
12/5/1958,,
12/8/1958,,
12/9/1958,,
12/10/1958,,
12/11/1958,,
12/12/1958,,
12/15/1958,,
12/16/1958,,
12/17/1958,,
12/18/1958,,
12/19/1958,,
12/22/1958,,
12/23/1958,,
12/24/1958,,
12/25/1958,,
12/26/1958,,
12/29/1958,,
12/30/1958,,
12/31/1958,,
1/1/1959,,
1/2/1959,,
1/5/1959,,
1/6/1959,,
1/7/1959,,
1/8/1959,,
1/9/1959,,
1/12/1959,,
1/13/1959,,
1/14/1959,,
1/15/1959,,
1/16/1959,,
1/19/1959,,
1/20/1959,,
1/21/1959,,
1/22/1959,,
1/23/1959,,
1/26/1959,,
1/27/1959,,
1/28/1959,,
1/29/1959,,
1/30/1959,,
2/2/1959,,
2/3/1959,,
2/4/1959,,
2/5/1959,,
2/6/1959,,
2/9/1959,,
2/10/1959,,
2/11/1959,,
2/12/1959,,
2/13/1959,,
2/16/1959,,
2/17/1959,,
2/18/1959,,
2/19/1959,,
2/20/1959,,
2/23/1959,,
2/24/1959,,
2/25/1959,,
2/26/1959,,
2/27/1959,,
3/2/1959,,
3/3/1959,,
3/4/1959,,
3/5/1959,,
3/6/1959,,
3/9/1959,,
3/10/1959,,
3/11/1959,,
3/12/1959,,
3/13/1959,,
3/16/1959,,
3/17/1959,,
3/18/1959,,
3/19/1959,,
3/20/1959,,
3/23/1959,,
3/24/1959,,
3/25/1959,,
3/26/1959,,
3/27/1959,,
3/30/1959,,
3/31/1959,,
4/1/1959,,
4/2/1959,,
4/3/1959,,
4/6/1959,,
4/7/1959,,
4/8/1959,,
4/9/1959,,
4/10/1959,,
4/13/1959,,
4/14/1959,,
4/15/1959,,
4/16/1959,,
4/17/1959,,
4/20/1959,,
4/21/1959,,
4/22/1959,,
4/23/1959,,
4/24/1959,,
4/27/1959,,
4/28/1959,,
4/29/1959,,
4/30/1959,,
5/1/1959,,
5/4/1959,,
5/5/1959,,
5/6/1959,,
5/7/1959,,
5/8/1959,,
5/11/1959,,
5/12/1959,,
5/13/1959,,
5/14/1959,,
5/15/1959,,
5/18/1959,,
5/19/1959,,
5/20/1959,,
5/21/1959,,
5/22/1959,,
5/25/1959,,
5/26/1959,,
5/27/1959,,
5/28/1959,,
5/29/1959,,
6/1/1959,,
6/2/1959,,
6/3/1959,,
6/4/1959,,
6/5/1959,,
6/8/1959,,
6/9/1959,,
6/10/1959,,
6/11/1959,,
6/12/1959,,
6/15/1959,,
6/16/1959,,
6/17/1959,,
6/18/1959,,
6/19/1959,,
6/22/1959,,
6/23/1959,,
6/24/1959,,
6/25/1959,,
6/26/1959,,
6/29/1959,,
6/30/1959,,
7/1/1959,,
7/2/1959,,
7/3/1959,,
7/6/1959,,
7/7/1959,,
7/8/1959,,
7/9/1959,,
7/10/1959,,
7/13/1959,,
7/14/1959,,
7/15/1959,,
7/16/1959,,
7/17/1959,,
7/20/1959,,
7/21/1959,,
7/22/1959,,
7/23/1959,,
7/24/1959,,
7/27/1959,,
7/28/1959,,
7/29/1959,,
7/30/1959,,
7/31/1959,,
8/3/1959,,
8/4/1959,,
8/5/1959,,
8/6/1959,,
8/7/1959,,
8/10/1959,,
8/11/1959,,
8/12/1959,,
8/13/1959,,
8/14/1959,,
8/17/1959,,
8/18/1959,,
8/19/1959,,
8/20/1959,,
8/21/1959,,
8/24/1959,,
8/25/1959,,
8/26/1959,,
8/27/1959,,
8/28/1959,,
8/31/1959,,
9/1/1959,,
9/2/1959,,
9/3/1959,,
9/4/1959,,
9/7/1959,,
9/8/1959,,
9/9/1959,,
9/10/1959,,
9/11/1959,,
9/14/1959,,
9/15/1959,,
9/16/1959,,
9/17/1959,,
9/18/1959,,
9/21/1959,,
9/22/1959,,
9/23/1959,,
9/24/1959,,
9/25/1959,,
9/28/1959,,
9/29/1959,,
9/30/1959,,
10/1/1959,,
10/2/1959,,
10/5/1959,,
10/6/1959,,
10/7/1959,,
10/8/1959,,
10/9/1959,,
10/12/1959,,
10/13/1959,,
10/14/1959,,
10/15/1959,,
10/16/1959,,
10/19/1959,,
10/20/1959,,
10/21/1959,,
10/22/1959,,
10/23/1959,,
10/26/1959,,
10/27/1959,,
10/28/1959,,
10/29/1959,,
10/30/1959,,
11/2/1959,,
11/3/1959,,
11/4/1959,,
11/5/1959,,
11/6/1959,,
11/9/1959,,
11/10/1959,,
11/11/1959,,
11/12/1959,,
11/13/1959,,
11/16/1959,,
11/17/1959,,
11/18/1959,,
11/19/1959,,
11/20/1959,,
11/23/1959,,
11/24/1959,,
11/25/1959,,
11/26/1959,,
11/27/1959,,
11/30/1959,,
12/1/1959,,
12/2/1959,,
12/3/1959,,
12/4/1959,,
12/7/1959,,
12/8/1959,,
12/9/1959,,
12/10/1959,,
12/11/1959,,
12/14/1959,,
12/15/1959,,
12/16/1959,,
12/17/1959,,
12/18/1959,,
12/21/1959,,
12/22/1959,,
12/23/1959,,
12/24/1959,,
12/25/1959,,
12/28/1959,,
12/29/1959,,
12/30/1959,,
12/31/1959,,
1/1/1960,,
1/4/1960,,
1/5/1960,,
1/6/1960,,
1/7/1960,,
1/8/1960,,
1/11/1960,,
1/12/1960,,
1/13/1960,,
1/14/1960,,
1/15/1960,,
1/18/1960,,
1/19/1960,,
1/20/1960,,
1/21/1960,,
1/22/1960,,
1/25/1960,,
1/26/1960,,
1/27/1960,,
1/28/1960,,
1/29/1960,,
2/1/1960,,
2/2/1960,,
2/3/1960,,
2/4/1960,,
2/5/1960,,
2/8/1960,,
2/9/1960,,
2/10/1960,,
2/11/1960,,
2/12/1960,,
2/15/1960,,
2/16/1960,,
2/17/1960,,
2/18/1960,,
2/19/1960,,
2/22/1960,,
2/23/1960,,
2/24/1960,,
2/25/1960,,
2/26/1960,,
2/29/1960,,
3/1/1960,,
3/2/1960,,
3/3/1960,,
3/4/1960,,
3/7/1960,,
3/8/1960,,
3/9/1960,,
